Date,Open,High,Low,Close,Adj Close,Volume
2001-01-12,3.129443,3.129443,3.046653,3.080100,1.773448,49788916
2001-01-15,3.046653,3.112885,3.046653,3.112885,1.792324,7959945
2001-01-16,3.112885,3.146001,3.096327,3.129443,1.801859,26138577
2001-01-17,3.129443,3.179117,3.104606,3.154280,1.816161,52977726
2001-01-18,3.154280,3.261906,3.154280,3.261906,1.878128,141660459
2001-01-19,3.261741,3.377811,3.245348,3.328138,1.916261,112526333
2001-01-22,3.328138,3.328138,3.190707,3.212232,1.849525,39666861
2001-01-23,3.212232,3.245348,3.182594,3.182594,1.832462,95181141
2001-01-24,3.228790,3.228790,3.094506,3.094506,1.781742,72183058
2001-01-25,3.094506,3.094506,3.094506,3.094506,1.781742,0
2001-01-26,3.096327,3.212232,3.096162,3.179117,1.830460,105025383
2001-01-29,3.195675,3.195675,3.121164,3.129443,1.801859,78053367
2001-01-30,3.162559,3.162559,3.079769,3.079769,1.773257,150043164
2001-01-31,3.096327,3.104606,3.046653,3.088048,1.778025,106813049
2001-02-01,3.124476,3.124476,3.013703,3.030096,1.744657,58763483
2001-02-02,3.030096,3.046653,2.988701,3.046653,1.754189,33832788
2001-02-05,3.030096,3.030096,2.963864,2.972143,1.711288,11958036
2001-02-06,2.996980,3.005259,2.980422,3.005259,1.730356,36043213
2001-02-07,2.996814,2.996814,2.930748,2.947306,1.696988,61444982
2001-02-08,2.978766,3.071490,2.978766,3.029764,1.744465,54137293
2001-02-09,3.046653,3.046653,2.980422,2.980422,1.716055,36622997
2001-02-12,2.980753,2.997808,2.980422,2.988701,1.720822,37589303
2001-02-13,3.013538,3.030096,3.013538,3.030096,1.744657,127214184
2001-02-14,3.013538,3.112885,2.980422,3.071490,1.768490,92101040
2001-02-15,3.079769,3.096327,3.071490,3.071490,1.768490,34472966
2001-02-16,3.079769,3.079769,2.879419,2.915018,1.678398,60526992
2001-02-19,2.980422,2.980422,2.897632,2.897632,1.668387,45694194
2001-02-20,2.906077,2.939027,2.765169,2.847959,1.639787,67593104
2001-02-21,2.897632,2.947306,2.798119,2.815174,1.620911,107042547
2001-02-22,2.831401,2.889353,2.831401,2.889353,1.663620,137130900
2001-02-23,2.897467,3.063211,2.881074,2.947472,1.697085,130982778
2001-02-26,2.947472,2.947472,2.947472,2.947472,1.697085,0
2001-02-27,2.947472,2.947472,2.947472,2.947472,1.697085,0
2001-02-28,2.939027,2.939027,2.816499,2.823122,1.625485,77401110
2001-03-01,2.847959,2.947306,2.839680,2.906077,1.673250,108914765
2001-03-02,2.947306,2.996980,2.881074,2.996814,1.725494,140392182
2001-03-05,2.980422,3.030096,2.930748,2.963864,1.706522,85216110
2001-03-06,2.980422,3.083081,2.963864,3.013538,1.735125,72557501
2001-03-07,3.025956,3.063211,3.005259,3.038375,1.749423,70214209
2001-03-08,3.046653,3.096327,2.996980,3.046653,1.754189,87269510
2001-03-09,2.980422,2.997145,2.972143,2.980422,1.716055,84092779
2001-03-12,2.844647,2.997145,2.844647,2.844647,1.637881,42312123
2001-03-13,2.798285,2.897632,2.773448,2.798285,1.611186,42565779
2001-03-14,2.798285,2.897632,2.773448,2.798285,1.611186,42565779
2001-03-15,2.665159,2.781893,2.664166,2.665159,1.534534,185929353
2001-03-16,2.674101,2.715495,2.649098,2.649098,1.525287,140078133
2001-03-19,2.657543,2.674101,2.549916,2.616148,1.506316,174031710
2001-03-20,2.650920,2.781727,2.649429,2.732053,1.573051,147699872
2001-03-21,2.798285,2.814843,2.732053,2.781727,1.601653,95446875
2001-03-22,2.632706,2.732053,2.583032,2.632706,1.515851,187149314
2001-03-23,2.748611,2.748611,2.632706,2.748611,1.582584,64223112
2001-03-26,2.856238,2.864517,2.814677,2.856238,1.644553,54862023
2001-03-27,2.864517,2.897632,2.852926,2.881074,1.658854,54354712
2001-03-28,2.847959,2.881240,2.839680,2.847959,1.639787,58533985
2001-03-29,2.930748,2.947306,2.823122,2.839680,1.635020,45259357
2001-03-30,2.781893,2.839680,2.707051,2.781893,1.601747,67556868
2001-04-02,2.642806,2.778747,2.641316,2.642806,1.521665,45440539
2001-04-03,2.583032,2.649264,2.516801,2.583032,1.487248,93405553
2001-04-04,2.723609,2.723774,2.616148,2.723609,1.568189,104433520
2001-04-05,2.865510,2.865510,2.723774,2.865510,1.649893,47904619
